Team,2013,2014,2015
Akron (MAC),5,5,8
Alabama (SEC),11,12,14
Appalachian St. (Sun Belt),0,0,11
Arizona (Pac-12),8,10,7
Arizona St. (Pac-12),10,10,6
Arkansas (SEC),3,7,8
Arkansas St. (Sun Belt),8,7,9
Army West Point (FBS Independent),3,4,2
Auburn (SEC),12,8,7
Ball St. (MAC),10,5,3
Baylor (Big 12),11,11,10
Boston College (ACC),7,7,3
Bowling Green (MAC),10,8,10
Buffalo (MAC),8,5,5
BYU (FBS Independent),8,8,9
California (Pac-12),1,5,8
Central Mich. (MAC),6,7,7
Cincinnati (AAC),9,9,7
Clemson (ACC),11,10,14
Colorado (Pac-12),4,2,4
Duke (ACC),10,9,8
East Carolina (C-USA),10,8,5
Eastern Mich. (MAC),2,2,1
FIU (C-USA),1,4,5
Fla. Atlantic (C-USA),6,3,3
Florida (SEC),4,7,10
Florida St. (ACC),14,13,10
Ga. Southern (Sun Belt),0,0,9
Georgia (SEC),8,10,10
Georgia St. (Sun Belt),0,1,6
Georgia Tech (ACC),7,11,3
Houston (AAC),8,8,13
Idaho (FBS Independent),1,1,4
Illinois (Big Ten),4,6,5
Indiana (Big Ten),5,4,6
Iowa (Big Ten),8,7,12
Iowa St. (Big 12),3,2,3
Kansas (Big 12),3,3,0
Kansas St. (Big 12),8,9,6
Kent St. (MAC),4,2,3
Kentucky (SEC),2,5,5
La.-Monroe (Sun Belt),6,4,2
Louisiana (Sun Belt),9,9,4
Louisiana Tech (C-USA),4,9,9
Louisville (AAC),12,9,8
LSU (SEC),10,8,9
Marshall (C-USA),10,13,10
Maryland (ACC),7,7,3
Massachusetts (MAC),1,3,3
Memphis (AAC),3,10,9
Miami (FL) (ACC),9,6,8
Miami (OH) (MAC),0,2,3
Michigan (Big Ten),7,5,10
Michigan St. (Big Ten),13,11,12
Middle Tenn. (C-USA),8,6,7
Minnesota (Big Ten),8,8,6
Mississippi St. (SEC),7,10,9
Missouri (SEC),12,11,5
Navy (FBS Independent),9,8,11
NC State (ACC),3,8,7
Nebraska (Big Ten),9,9,6
New Mexico St. (FBS Independent),2,2,3
North Carolina (ACC),7,6,11
North Texas (C-USA),9,4,1
Northern Ill. (MAC),12,11,8
Northwestern (Big Ten),5,5,10
Notre Dame (FBS Independent),9,8,10
Ohio (MAC),7,6,8
Ohio St. (Big Ten),12,14,12
Oklahoma (Big 12),11,8,11
Oklahoma St. (Big 12),10,7,10
Ole Miss (),8,9,5
Oregon (Pac-12),11,13,10
Oregon St. (Pac-12),7,5,9
Penn St. (Big Ten),7,7,2
Pittsburgh (ACC),7,6,7
Purdue (Big Ten),1,3,8
Rice (C-USA),10,8,2
Rutgers (AAC),6,8,5
SMU (AAC),5,1,4
South Alabama (Sun Belt),6,6,2
South Carolina (SEC),11,7,5
South Fla. (AAC),2,4,3
Southern California (Pac-12),10,9,8
Southern Miss. (C-USA),1,3,8
Stanford (Pac-12),11,8,9
Syracuse (ACC),7,3,12
TCU (Big 12),4,12,4
Temple (AAC),2,6,11
Tennessee (SEC),5,7,10
Texas (Big 12),8,6,9
Texas A&M (SEC),9,8,5
Texas St. (Sun Belt),6,7,8
Texas Tech (Big 12),8,4,3
Toledo (MAC),7,9,7
Troy (Sun Belt),6,3,10
Tulane (C-USA),7,3,4
Tulsa (C-USA),3,2,3
UAB (C-USA),2,6,6
UCF (AAC),12,9,0
UCLA (Pac-12),10,10,8
UConn (AAC),3,2,6
Utah (Pac-12),5,9,10
UTEP (C-USA),2,7,5
UTSA (C-USA),0,4,3
Vanderbilt (SEC),9,3,4
Virginia (ACC),2,5,4
Virginia Tech (ACC),8,7,7
Wake Forest (ACC),4,3,3
Washington (Pac-12),9,8,7
Washington St. (Pac-12),6,3,9
West Virginia (Big 12),4,7,8
Western Ky. (Sun Belt),8,8,12
Western Mich. (MAC),1,8,8
