UniversityName,Year,TeamID,CMP,ATT,YDS,CMPPercent,YPA,LNG,TD,INT,SACK,SYL,RTG,R_ATT,R_AVG,TOTAL_PLAYS,RUN_PERCENT,PASS_PERCENT
AirForce,2010,AirForce2010,88,168,1551,52.4,9.2,63,12,6,5,-25,146.4,748,5.3,916,0.8166,0.1834
AirForce,2011,AirForce2011,123,204,1821,60.3,8.9,55,16,8,10,-64,153.3,723,5.7,927,0.7799,0.2201
AirForce,2012,AirForce2012,83,151,1334,55,8.8,58,9,8,9,-46,138.2,804,5.1,955,0.8419,0.1581
AirForce,2013,AirForce2013,93,174,1259,53.4,7.2,71,8,4,9,-79,124.8,637,4.9,811,0.7855,0.2145
AirForce,2014,AirForce2014,117,206,1893,56.8,9.2,74,15,4,12,-80,154.1,796,4.5,1002,0.7944,0.2056
AirForce,2015,AirForce2015,87,170,1847,51.2,10.9,75,15,12,3,-9,157.4,816,5.5,986,0.8276,0.1724
AirForce,2016,AirForce2016,68,150,1752,45.3,11.7,75,14,8,17,-104,163.6,827,5,977,0.8465,0.1535
AirForce,2017,AirForce2017,69,142,1321,48.6,9.3,64,10,6,23,-155,141.5,766,4.8,908,0.8436,0.1564
AirForce,2018,AirForce2018,93,168,1576,55.4,9.4,69,10,5,7,-49,147.8,713,4.8,881,0.8093,0.1907
AirForce,2019,AirForce2019,68,126,1602,54,12.7,81,14,6,4,-22,187.9,755,5.1,881,0.857,0.143
AirForce,2020,AirForce2020,34,61,502,55.7,8,49,3,3,2,-19,129.3,312,5,373,0.8365,0.1635
Akron,2010,Akron2010,174,349,1861,49.9,5.3,56,12,14,33,-208,98,393,3.5,742,0.5296,0.4704
Akron,2011,Akron2011,171,376,1960,45.5,5.2,64,12,11,38,-222,93.9,413,3.3,789,0.5234,0.4766
Akron,2012,Akron2012,364,583,3753,62.4,6.4,56,30,18,24,-191,127.3,365,3.8,948,0.385,0.615
Akron,2013,Akron2013,234,419,2633,55.8,6.3,77,18,10,27,-185,118,418,3.5,837,0.4994,0.5006
Akron,2014,Akron2014,284,527,2995,53.9,5.7,57,14,14,24,-152,105.1,363,4.1,890,0.4079,0.5921
Akron,2015,Akron2015,184,370,2508,49.7,6.8,72,18,12,16,-126,116.2,535,4,905,0.5912,0.4088
Akron,2016,Akron2016,217,396,3063,54.8,7.7,91,25,14,26,-152,133.5,380,4.2,776,0.4897,0.5103
Akron,2017,Akron2017,242,447,2949,54.1,6.6,71,24,11,38,-243,122.3,459,3.2,906,0.5066,0.4934
Akron,2018,Akron2018,187,374,2390,50,6.4,56,16,14,34,-217,110.3,390,2.9,764,0.5105,0.4895
Akron,2019,Akron2019,204,398,2344,51.3,5.9,87,12,14,58,-328,103.6,327,1.7,725,0.451,0.549
Akron,2020,Akron2020,83,148,838,56.1,5,42,4,6,26,-162,98.9,212,4,360,0.5889,0.4111
Alabama,2010,Alabama2010,253,362,3395,69.9,9.4,85,24,5,32,-167,167.8,467,5.1,829,0.5633,0.4367
Alabama,2011,Alabama2011,237,357,2797,66.4,7.8,69,16,8,17,-97,142.5,508,5.5,865,0.5873,0.4127
Alabama,2012,Alabama2012,219,328,3052,66.8,9.3,85,31,3,23,-184,174.3,570,5.6,898,0.6347,0.3653
Alabama,2013,Alabama2013,244,365,3230,66.8,8.8,99,30,7,17,-118,164.5,461,5.8,826,0.5581,0.4419
Alabama,2014,Alabama2014,290,451,3890,64.3,8.6,87,32,10,16,-108,155.7,567,5.1,1018,0.557,0.443
Alabama,2015,Alabama2015,301,446,3407,67.5,7.6,81,22,10,26,-191,143.5,642,4.7,1088,0.5901,0.4099
Alabama,2016,Alabama2016,265,417,3154,63.5,7.6,71,26,9,24,-143,143.3,639,5.8,1056,0.6051,0.3949
Alabama,2017,Alabama2017,204,332,2708,61.4,8.2,78,28,3,27,-154,156,612,5.7,944,0.6483,0.3517
Alabama,2018,Alabama2018,301,438,4854,68.7,11.1,94,52,8,16,-123,197.3,571,5.2,1009,0.5659,0.4341
Alabama,2019,Alabama2019,287,406,4449,70.7,11,85,49,6,12,-81,199.6,436,5,842,0.5178,0.4822
Alabama,2020,Alabama2020,324,425,4656,76.2,10,90,42,4,19,-116,191,477,5,902,0.5288,0.4712
AppalachianState,2014,AppalachianState2014,205,340,2637,60.3,7.8,63,21,11,11,-46,139.4,537,5.4,877,0.6123,0.3877
AppalachianState,2015,AppalachianState2015,180,297,2546,60.6,8.6,58,33,9,11,-71,163.2,605,5.8,902,0.6707,0.3293
AppalachianState,2016,AppalachianState2016,203,334,2327,60.8,7,60,16,8,16,-96,130.3,578,5.6,912,0.6338,0.3662
AppalachianState,2017,AppalachianState2017,215,356,2811,60.4,7.9,84,28,6,8,-55,149.3,530,5.5,886,0.5982,0.4018
AppalachianState,2018,AppalachianState2018,196,319,2478,61.4,7.8,90,27,12,18,-104,147.1,540,5.8,859,0.6286,0.3714
AppalachianState,2019,AppalachianState2019,231,370,2824,62.4,7.6,73,30,6,18,-107,150.1,599,5.4,969,0.6182,0.3818
AppalachianState,2020,AppalachianState2020,190,300,2245,63.3,7,62,21,11,21,-131,137.9,545,5,845,0.645,0.355
Arizona,2010,Arizona2010,357,524,4000,68.1,7.6,85,25,12,32,-221,143.4,435,3.9,959,0.4536,0.5464
Arizona,2011,Arizona2011,398,577,4449,69,7.7,54,29,15,23,-184,145.1,331,3.4,908,0.3645,0.6355
Arizona,2012,Arizona2012,326,538,3879,60.6,7.2,63,30,15,18,-96,134,544,5.4,1082,0.5028,0.4972
Arizona,2013,Arizona2013,233,383,2516,60.8,6.6,60,16,7,17,-76,126.1,647,5.3,1030,0.6282,0.3718
Arizona,2014,Arizona2014,320,564,3945,56.7,7,92,29,10,40,-239,128.9,575,4.4,1139,0.5048,0.4952
Arizona,2015,Arizona2015,273,466,3548,58.6,7.6,95,27,10,31,-152,137.4,526,5.5,992,0.5302,0.4698
Arizona,2016,Arizona2016,157,306,2137,51.3,7,75,13,12,28,-192,116.1,509,5.5,815,0.6245,0.3755
Arizona,2017,Arizona2017,183,295,2343,62,7.9,68,19,13,18,-119,141.2,613,6.6,908,0.6751,0.3249
Arizona,2018,Arizona2018,216,389,3063,55.5,7.9,75,29,10,20,-137,141.1,492,4.9,881,0.5585,0.4415
Arizona,2019,Arizona2019,261,422,3193,61.8,7.6,75,23,12,33,-191,137.7,451,4.6,873,0.5166,0.4834
Arizona,2020,Arizona2020,114,189,1065,60.3,5,75,6,7,18,-118,105.4,184,4,373,0.4933,0.5067
ArizonaState,2010,ArizonaState2010,279,464,3437,60.1,7.4,78,23,17,31,-180,131.4,413,4,877,0.4709,0.5291
ArizonaState,2011,ArizonaState2011,333,527,4117,63.2,7.8,60,27,13,28,-157,140.8,423,4,950,0.4453,0.5547
ArizonaState,2012,ArizonaState2012,275,413,3369,66.6,8.2,52,33,12,38,-221,155.7,598,4.5,1011,0.5915,0.4085
ArizonaState,2013,ArizonaState2013,309,494,3723,62.6,7.5,74,28,12,41,-229,139.7,608,4.4,1102,0.5517,0.4483
ArizonaState,2014,ArizonaState2014,281,467,3556,60.2,7.6,77,34,9,39,-235,144.3,508,4.3,975,0.521,0.479
ArizonaState,2015,ArizonaState2015,320,534,3887,59.9,7.3,93,30,9,39,-233,136.2,536,4.3,1070,0.5009,0.4991
ArizonaState,2016,ArizonaState2016,257,425,3111,60.5,7.3,71,16,14,41,-260,127.8,475,3.3,900,0.5278,0.4722
ArizonaState,2017,ArizonaState2017,264,416,3324,63.5,8,70,21,9,41,-240,142.9,565,4,981,0.5759,0.4241
ArizonaState,2018,ArizonaState2018,247,397,3025,62.2,7.6,72,20,7,16,-90,139.3,502,4.8,899,0.5584,0.4416
ArizonaState,2019,ArizonaState2019,233,383,3235,60.8,8.4,86,21,4,33,-182,147.8,459,3.5,842,0.5451,0.4549
ArizonaState,2020,ArizonaState2020,51,87,777,58.6,8,74,5,1,6,-43,142.5,165,6,252,0.6548,0.3452
Arkansas,2010,Arkansas2010,301,465,4338,64.7,9.3,89,36,15,28,-157,162.2,421,4.6,886,0.4752,0.5248
Arkansas,2011,Arkansas2011,299,471,3909,63.5,8.3,68,26,7,28,-186,148.4,412,4.3,883,0.4666,0.5334
Arkansas,2012,Arkansas2012,272,459,3618,59.3,7.9,80,23,16,19,-142,135,367,3.9,826,0.4443,0.5557
Arkansas,2013,Arkansas2013,150,301,1782,49.8,5.9,52,15,11,8,-72,108.7,474,5.3,775,0.6116,0.3884
Arkansas,2014,Arkansas2014,199,359,2444,55.4,6.8,54,21,6,14,-104,128.6,557,5.1,916,0.6081,0.3919
