Team,Win
Akron (MAC),5
Alabama (SEC),11
Arizona (Pac-12),8
Arizona St. (Pac-12),10
Arkansas (SEC),3
Arkansas St. (Sun Belt),8
Army West Point (FBS Independent),3
Auburn (SEC),12
Ball St. (MAC),10
Baylor (Big 12),11
Boston College (ACC),7
Bowling Green (MAC),10
Buffalo (MAC),8
BYU (FBS Independent),8
California (Pac-12),1
Central Mich. (MAC),6
Cincinnati (AAC),9
Clemson (ACC),11
Colorado (Pac-12),4
Duke (ACC),10
East Carolina (C-USA),10
Eastern Mich. (MAC),2
FIU (C-USA),1
Fla. Atlantic (C-USA),6
Florida (SEC),4
Florida St. (ACC),14
Georgia (SEC),8
Georgia Tech (ACC),7
Houston (AAC),8
Idaho (FBS Independent),1
Illinois (Big Ten),4
Indiana (Big Ten),5
Iowa (Big Ten),8
Iowa St. (Big 12),3
Kansas (Big 12),3
Kansas St. (Big 12),8
Kent St. (MAC),4
Kentucky (SEC),2
La.-Monroe (Sun Belt),6
Louisiana (Sun Belt),9
Louisiana Tech (C-USA),4
Louisville (AAC),12
LSU (SEC),10
Marshall (C-USA),10
Maryland (ACC),7
Massachusetts (MAC),1
Memphis (AAC),3
Miami (FL) (ACC),9
Miami (OH) (MAC),0
Michigan (Big Ten),7
Michigan St. (Big Ten),13
Middle Tenn. (C-USA),8
Minnesota (Big Ten),8
Mississippi St. (SEC),7
Missouri (SEC),12
Navy (FBS Independent),9
NC State (ACC),3
Nebraska (Big Ten),9
New Mexico St. (FBS Independent),2
North Carolina (ACC),7
North Texas (C-USA),9
Northern Ill. (MAC),12
Northwestern (Big Ten),5
Notre Dame (FBS Independent),9
Ohio (MAC),7
Ohio St. (Big Ten),12
Oklahoma (Big 12),11
Oklahoma St. (Big 12),10
Ole Miss (),8
Oregon (Pac-12),11
Oregon St. (Pac-12),7
Penn St. (Big Ten),7
Pittsburgh (ACC),7
Purdue (Big Ten),1
Rice (C-USA),10
Rutgers (AAC),6
SMU (AAC),5
South Alabama (Sun Belt),6
South Carolina (SEC),11
South Fla. (AAC),2
Southern California (Pac-12),10
Southern Miss. (C-USA),1
Stanford (Pac-12),11
Syracuse (ACC),7
TCU (Big 12),4
Temple (AAC),2
Tennessee (SEC),5
Texas (Big 12),8
Texas A&M (SEC),9
Texas St. (Sun Belt),6
Texas Tech (Big 12),8
Toledo (MAC),7
Troy (Sun Belt),6
Tulane (C-USA),7
Tulsa (C-USA),3
UAB (C-USA),2
UCF (AAC),12
UCLA (Pac-12),10
UConn (AAC),3
Utah (Pac-12),5
UTEP (C-USA),2
Vanderbilt (SEC),9
Virginia (ACC),2
Virginia Tech (ACC),8
Wake Forest (ACC),4
Washington (Pac-12),9
Washington St. (Pac-12),6
West Virginia (Big 12),4
Western Ky. (Sun Belt),8
Western Mich. (MAC),1
Wisconsin (Big Ten),9
